Participant,Action,Date of Notification/Deposit,Date of Effect
Luxembourg,Signature,17/07/1980, 
Luxembourg,Ratification,02/02/1989,04/03/1989
Luxembourg,Withdrawal of reservation,09/01/2008,09/01/2008
Madagascar,Signature,17/07/1980, 
Madagascar,Ratification,17/03/1989,16/04/1989
Malawi,Accession,12/03/1987,11/04/1987
Malawi,Withdrawal of reservation,24/10/1991,24/10/1991
Malaysia,Partial withdrawal of reservations,16/10/1995, 
Malaysia,Partial withdrawal of reservations,19/07/2010, 
Malaysia,Accession,05/07/1995,04/08/1995
Maldives,Modification,29/01/1999, 
Maldives,Partial withdrawal of reservation,31/03/2010, 
Maldives,Acceptance of reservation,23/06/1999,23/06/1999
Maldives,Accession,01/07/1993,31/07/1993
Mali,Signature,05/02/1985, 
Mali,Ratification,10/09/1985,10/10/1985
Malta,Accession,08/03/1991,07/04/1991
Marshall Islands,Accession,02/03/2006,01/04/2006
Mauritania,Partial withdrawal of reservation,25/07/2014, 
Mauritania,Accession,10/05/2001,09/06/2001
Mauritius,Partial withdrawal of reservation and declaration,05/05/1998, 
Mauritius,Accession,09/07/1984,08/08/1984
Mexico,Objection,11/01/1985, 
Mexico,Objection,06/06/1985, 
Mexico,Objection,21/02/1985, 
Mexico,Objection,21/02/1985, 
Mexico,Objection,23/07/1990, 
Mexico,Declaration,05/08/1987, 
Mexico,Objection,04/12/1986, 
Mexico,Objection,16/10/1986, 
Mexico,Objection,29/01/1986, 
Mexico,Objection,16/07/1986, 
Mexico,Objection,07/05/1986, 
Mexico,Signature,17/07/1980, 
Mexico,Objection,22/05/1985, 
Mexico,Communication,10/05/2010, 
Mexico,Ratification,23/03/1981,03/09/1981
Micronesia (Federated States of),Accession,01/09/2004,01/10/2004
Monaco,Accession,18/03/2005,17/04/2005
Mongolia,Signature,17/07/1980, 
Mongolia,Ratification,20/07/1981,03/09/1981
Mongolia,Withdrawal of reservation,19/07/1990,19/07/1990
Montenegro,Succession,23/10/2006,03/06/2006
Morocco,Partial withdrawal,08/04/2011, 
Morocco,Accession,21/06/1993,21/07/1993
Mozambique,Accession,21/04/1997,16/05/1997
Myanmar,Accession,22/07/1997,21/08/1997
Namibia,Accession,23/11/1992,23/11/1992
Nauru,Accession,23/06/2011,23/07/2011
Nepal,Signature,05/02/1991, 
Nepal,Ratification,22/04/1991,22/05/1991
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Signature,17/07/1980, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,23/07/1991, 
Netherlands,Objection,14/07/1994, 
Netherlands,Objection,16/01/1996, 
Netherlands,Objection,01/07/1997, 
Netherlands,Objection,21/07/1998, 
Netherlands,Communication,06/12/2000, 
Netherlands,Objection,15/05/1998, 
Netherlands,Objection,30/05/1997, 
Netherlands,Objection,20/11/1996, 
Netherlands,Objection,01/11/1996, 
Netherlands,Objection,01/11/1996, 
Netherlands,Objection,15/10/1996, 
Netherlands,Objection,11/04/2007, 
Netherlands,Objection,19/07/2006, 
Netherlands,Objection,31/05/2005, 
Netherlands,Objection,22/11/2002, 
Netherlands,Objection,27/05/2003, 
Netherlands,Objection,18/09/2001, 
Netherlands,Objection,18/09/2001, 
Netherlands,Objection,08/02/2002, 
Netherlands,Objection,05/05/2010, 
Netherlands,Ratification,23/07/1991,22/08/1991
New Zealand,Signature,17/07/1980, 
New Zealand,Withdrawal of reservation,05/07/2007, 
New Zealand,Territorial exclusion,05/09/2003, 
New Zealand,Withdrawal of reservation,05/09/2003, 
New Zealand,Territorial application,10/01/1985,09/02/1985
New Zealand,Ratification,10/01/1985,09/02/1985
New Zealand,Withdrawal of reservation,13/01/1989,13/01/1989
Nicaragua,Signature,17/07/1980, 
Nicaragua,Ratification,27/10/1981,26/11/1981
Niger,Accession,08/10/1999,07/11/1999
Nigeria,Signature,23/04/1984, 
Nigeria,Ratification,13/06/1985,13/07/1985
Norway,Objection,16/07/1990, 
Norway,Signature,17/07/1980, 
Norway,Objection,01/11/2000, 
Norway,Objection,06/06/1997, 
Norway,Objection,03/07/1997, 
Norway,Objection,30/10/1996, 
Norway,Objection,16/10/1996, 
Norway,Objection,21/11/1996, 
Norway,Objection,02/05/1995, 
Norway,Objection,25/10/1994, 
Norway,Objection,20/02/2002, 
Norway,Objection,09/10/2001, 
Norway,Objection,05/04/2004, 
Norway,Objection,20/05/2002, 
Norway,Objection,01/12/2005, 
Norway,Objection,21/03/2007, 
Norway,Objection,06/05/2010, 
Norway,Ratification,21/05/1981,03/09/1981
Oman,Accession,07/02/2006,09/03/2006
Pakistan,Accession,12/03/1996,11/04/1996
Palau,Signature,20/09/2011, 
Panama,Signature,26/06/1980, 
Panama,Ratification,29/10/1981,28/11/1981
Papua New Guinea,Accession,12/01/1995,11/02/1995
Paraguay,Accession,06/04/1987,06/05/1987
Peru,Signature,23/07/1981, 
Peru,Ratification,13/09/1982,13/10/1982
Philippines,Signature,15/07/1980, 
Philippines,Ratification,05/08/1981,04/09/1981
Poland,Signature,29/05/1980, 
Poland,Objection,01/03/2007, 
Poland,Objection,07/06/2007, 
Poland,Objection,28/11/2005, 
Poland,Withdrawal of reservation,16/10/1997, 
Poland,Objection,06/05/2010, 
Poland,Ratification,30/07/1980,03/09/1981
Portugal,Territorial application,27/04/1999, 
Portugal,Communication,21/10/1999, 
Portugal,Signature,24/04/1980, 
Portugal,Communication,15/12/2005, 
Portugal,Objection,28/11/2005, 
Portugal,Objection,30/01/2007, 
Portugal,Objection,30/01/2007, 
Portugal,Objection,18/07/2001, 
