 ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Vietnam,82392100,83311200,84218500,85118700,86025000,86932500,87840000,88772900,89708900,90730000
Virgin Islands (U.S.),107863,107700,107423,107091,106707,106267,105784,105275,104737,104170
West Bank and Gaza,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901,4169506,4294682
Yemen,20504385,21093973,21701105,22322699,22954226,23591972,24234940,24882792,25533217,26183676
Zambia,12043591,12381509,12738676,13114579,13507849,13917439,14343526,14786581,15246086,15721343
Zimbabwe,12984418,13127942,13297798,13495462,13720997,13973897,14255592,14565482,14898092,15245855
Arab World,313508929,320912518,328668135,336662433,344702311,352640325,360761571,368914383,377096710,385272539
Caribbean small states,6640916,6681231,6723587,6767278,6811213,6854569,6896697,6937108,6975819,7013555
East Asia & Pacific (all income levels),2130532518,2146003677,2160752292,2175660864,2190177041,2204603325,2219079073,2233889396,2248867116,2264079901
East Asia & Pacific (developing only),1894744514,1909251689,1923095029,1936736134,1950280764,1963842316,1977637953,1991746941,2006072847,2020657137
Euro area,329490945,331033155,332759025,334378776,335433365,336199356,336958644,336189482,337283895,338733933
Europe & Central Asia (all income levels),872968147,875755753,878819656,882358214,886063249,889630390,893094109,894962840,898837054,903110622
Europe & Central Asia (developing only),249730397,250849576,251718457,252877346,254685459,256799097,258778040,260544871,262416324,264350728
European Union,496306466,498182074,500030506,501912523,503390442,504469008,505544895,505126520,506558032,508314519
Heavily indebted poor countries (HIPC),546329345,561934621,577914150,594288511,611087950,628333588,646028823,664163813,682730030,701714118
High income,1322338351,1331063161,1340501351,1350647746,1359870192,1368262960,1376081481,1382476668,1390565718,1398793049
High income: OECD,1019459321,1025748111,1032248627,1039134115,1045171937,1050581724,1055684439,1059127950,1064428332,1070026367
High income: nonOECD,302879030,305315050,308252724,311513631,314698255,317681236,320397042,323348718,326137386,328766682
Latin America & Caribbean (all income levels),562783235,570029991,577248307,584435842,591577623,598662941,605674766,612617659,619487273,626270167
Latin America & Caribbean (developing only),471107730,477292640,483458582,489595358,495685919,501716478,507683672,513587153,519419591,525173404
Least developed countries: UN classification,752794655,771082091,789544690,808296705,827498335,847264134,867666290,888606627,910063594,931955068
Low & middle income,5192264973,5264379588,5336020880,5408304955,5481698787,5556019977,5631389320,5706832680,5783955641,5861917628
Low income,488164370,501506199,515142538,529119915,543502416,558333178,573629146,589368162,605505799,621977594
Lower middle income,2505015558,2545669797,2586398869,2627317521,2668428221,2709973675,2752176358,2793702323,2836264486,2879112201
Middle East & North Africa (all income levels),346735318,353923119,361451154,369228612,377133473,384945112,393003905,401144535,409324396,417451428
